Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DNI,DHI,Relative Humidity,Wind Speed
2023,1,4,11,30,9.700000000000001,0,0,0,100,1.9000000000000001
2023,1,4,12,30,10,6,0,6,97.2,1.7000000000000002
2023,1,4,13,30,11.100000000000001,135,543,41,94.08,1.8
2023,1,4,14,30,12,221,332,121,92.25,1.8
2023,1,4,15,30,12.700000000000001,236,134,183,92.01,1.7000000000000002
2023,1,4,16,30,13,278,164,206,93.37,1.3
2023,1,4,17,30,12.9,273,157,204,95.31,0.9
2023,1,4,18,30,12.4,237,152,177,97.72,1.2000000000000002
2023,1,4,19,30,11.8,124,28,115,99.34,1.8
2023,1,4,20,30,11.200000000000001,27,0,27,100,2.1
2023,1,4,21,30,10.700000000000001,2,0,2,100,2
2023,1,4,22,30,10.4,0,0,0,100,1.7000000000000002
2023,1,4,23,30,10.100000000000001,0,0,0,100,1.4000000000000001
2023,1,5,0,30,9.8,0,0,0,100,1.3
2023,1,5,1,30,9.700000000000001,0,0,0,99.5,1.4000000000000001
2023,1,5,2,30,9.700000000000001,0,0,0,99.74000000000001,1.5
2023,1,5,3,30,9.8,0,0,0,100,1.6
2023,1,5,4,30,10.100000000000001,0,0,0,100,1.8
2023,1,5,5,30,10.3,0,0,0,100,1.8
2023,1,5,6,30,9.700000000000001,0,0,0,100,1.6
2023,1,5,7,30,9,0,0,0,100,1.4000000000000001
2023,1,5,8,30,8.5,0,0,0,100,1.4000000000000001
2023,1,5,9,30,8,0,0,0,100,1.3
2023,1,5,10,30,7.4,0,0,0,100,1.3
2023,1,5,11,30,7.1000000000000005,0,0,0,100,1.2000000000000002
2023,1,5,12,30,7.4,7,0,7,98.4,1.3
2023,1,5,13,30,7.9,72,31,67,95.88,1.4000000000000001
2023,1,5,14,30,8.5,133,35,122,93.4,1.5
2023,1,5,15,30,9.200000000000001,69,0,69,90.92,1.5
2023,1,5,16,30,10,92,1,92,86.08,1.5
2023,1,5,17,30,10.600000000000001,124,4,122,81.32000000000001,1.5
2023,1,5,18,30,10.700000000000001,93,0,93,78.97,1.5
2023,1,5,19,30,10.200000000000001,83,4,82,81.54,1.5
2023,1,5,20,30,8.9,31,0,31,92.47,1.6
2023,1,5,21,30,7.5,4,0,4,97.04,1.6
2023,1,5,22,30,6.7,0,0,0,100,1.7000000000000002
2023,1,5,23,30,6.300000000000001,0,0,0,100,1.8
2023,1,6,0,30,6.300000000000001,0,0,0,100,1.9000000000000001
2023,1,6,1,30,6.6000000000000005,0,0,0,98.23,2.1
2023,1,6,2,30,6.800000000000001,0,0,0,96.39,2.2
2023,1,6,3,30,6.7,0,0,0,96.57000000000001,2.3000000000000003
2023,1,6,4,30,6.5,0,0,0,97.37,2.2
2023,1,6,5,30,6.2,0,0,0,97.39,2
2023,1,6,6,30,5.7,0,0,0,97.83,1.7000000000000002
2023,1,6,7,30,5.1000000000000005,0,0,0,98.08,1.8
2023,1,6,8,30,4.6000000000000005,0,0,0,97.47,2
2023,1,6,9,30,4.2,0,0,0,96.65,2.2
2023,1,6,10,30,4.1000000000000005,0,0,0,95.59,2
2023,1,6,11,30,4.1000000000000005,0,0,0,94.78,1.9000000000000001
2023,1,6,12,30,4.4,4,0,4,92.72,2
2023,1,6,13,30,5.1000000000000005,10,0,10,90.35000000000001,2
2023,1,6,14,30,5.7,17,0,17,88.56,1.4000000000000001
